timestamp,distance,data source
2026-04-01T23:28:55Z,6.71,Fitbit App
2026-04-01T23:36:55Z,8.72,Fitbit App
2026-04-01T23:37:55Z,3.36,Fitbit App
2026-04-01T23:38:55Z,18.12,Fitbit App
2026-04-01T23:39:55Z,4.03,Fitbit App
2026-04-01T23:42:55Z,0.67,Fitbit App
2026-04-01T23:43:55Z,9.39,Fitbit App
2026-04-01T23:44:55Z,40.93,Fitbit App
2026-04-01T23:45:55Z,16.10,Fitbit App
2026-04-01T23:49:55Z,0.67,Fitbit App
2026-04-01T23:50:55Z,13.42,Fitbit App
2026-04-01T23:51:55Z,5.37,Fitbit App
2026-04-01T23:52:55Z,28.85,Fitbit App
2026-04-01T23:53:55Z,12.08,Fitbit App
2026-04-01T23:54:55Z,5.37,Fitbit App
2026-04-01T23:55:55Z,14.76,Fitbit App
2026-04-01T23:57:55Z,5.37,Fitbit App
2026-04-01T23:58:55Z,8.72,Fitbit App
2026-04-02T00:01:55Z,4.03,Fitbit App
2026-04-02T00:02:55Z,21.47,Fitbit App
2026-04-02T00:03:55Z,0.67,Fitbit App
2026-04-02T00:04:55Z,2.01,Fitbit App
2026-04-02T00:05:55Z,14.09,Fitbit App
2026-04-02T00:06:55Z,15.43,Fitbit App
2026-04-02T00:07:55Z,20.80,Fitbit App
2026-04-02T00:08:55Z,3.36,Fitbit App
2026-04-02T00:09:55Z,7.38,Fitbit App
2026-04-02T00:10:55Z,2.68,Fitbit App
2026-04-02T00:11:55Z,8.05,Fitbit App
2026-04-02T00:12:55Z,0.67,Fitbit App
2026-04-02T00:13:55Z,6.71,Fitbit App
2026-04-02T00:14:55Z,29.52,Fitbit App
2026-04-02T00:17:55Z,8.05,Fitbit App
2026-04-02T00:18:55Z,2.68,Fitbit App
2026-04-02T00:19:55Z,4.70,Fitbit App
2026-04-02T00:20:55Z,14.09,Fitbit App
2026-04-02T00:21:55Z,2.01,Fitbit App
2026-04-02T00:22:55Z,19.46,Fitbit App
2026-04-02T00:23:55Z,31.54,Fitbit App
2026-04-02T00:24:55Z,12.75,Fitbit App
2026-04-02T00:25:55Z,12.75,Fitbit App
2026-04-02T00:26:55Z,42.94,Fitbit App
2026-04-02T00:27:55Z,16.78,Fitbit App
2026-04-02T00:33:55Z,5.37,Fitbit App
2026-04-02T00:34:55Z,4.70,Fitbit App
2026-04-02T00:35:55Z,7.38,Fitbit App
2026-04-02T00:36:55Z,32.88,Fitbit App
2026-04-02T00:37:55Z,16.78,Fitbit App
2026-04-02T00:43:55Z,11.41,Fitbit App
2026-04-02T00:44:55Z,4.70,Fitbit App
2026-04-02T00:46:13Z,2.01,Fitbit App
2026-04-02T00:47:13Z,20.13,Fitbit App
2026-04-02T00:48:13Z,24.16,Fitbit App
2026-04-02T00:49:13Z,15.43,Fitbit App
2026-04-02T00:50:13Z,16.78,Fitbit App
2026-04-02T00:51:13Z,66.68,Fitbit App
2026-04-02T00:52:13Z,28.85,Fitbit App
2026-04-02T00:53:13Z,32.88,Fitbit App
2026-04-02T00:54:13Z,4.70,Fitbit App
2026-04-02T00:55:13Z,10.07,Fitbit App
2026-04-02T00:56:13Z,24.16,Fitbit App
2026-04-02T00:57:13Z,23.49,Fitbit App
2026-04-02T00:58:13Z,10.07,Fitbit App
2026-04-02T00:59:13Z,30.87,Fitbit App
2026-04-02T01:00:13Z,21.47,Fitbit App
2026-04-02T01:01:13Z,22.81,Fitbit App
2026-04-02T01:02:13Z,42.27,Fitbit App
2026-04-02T01:03:13Z,11.41,Fitbit App
2026-04-02T01:04:13Z,32.21,Fitbit App
2026-04-02T01:05:13Z,0.67,Fitbit App
2026-04-02T01:06:13Z,12.75,Fitbit App
2026-04-02T01:07:13Z,31.54,Fitbit App
2026-04-02T01:08:13Z,41.60,Fitbit App
2026-04-02T01:09:13Z,35.56,Fitbit App
2026-04-02T01:10:13Z,8.72,Fitbit App
2026-04-02T01:11:13Z,22.81,Fitbit App
2026-04-02T01:12:13Z,12.75,Fitbit App
2026-04-02T01:13:13Z,32.88,Fitbit App
2026-04-02T01:14:13Z,33.55,Fitbit App
2026-04-02T01:15:13Z,9.39,Fitbit App
2026-04-02T01:20:13Z,6.71,Fitbit App
2026-04-02T01:21:13Z,19.46,Fitbit App
2026-04-02T01:22:13Z,12.75,Fitbit App
2026-04-02T01:23:13Z,32.88,Fitbit App
2026-04-02T01:50:13Z,4.70,Fitbit App
2026-04-02T01:51:13Z,25.50,Fitbit App
2026-04-02T01:52:13Z,26.84,Fitbit App
2026-04-02T01:53:13Z,5.37,Fitbit App
2026-04-02T01:54:13Z,37.58,Fitbit App
2026-04-02T01:55:13Z,40.93,Fitbit App
2026-04-02T01:56:13Z,22.81,Fitbit App
2026-04-02T02:00:13Z,10.07,Fitbit App
2026-04-02T02:01:13Z,10.07,Fitbit App
2026-04-02T02:05:13Z,4.03,Fitbit App
